from_station_name,to_station_name,trip_duration_in_minutes
Bayfront,Admiralty,49
Bayfront,Aljunied,21
Bayfront,Ang Mo Kio,31
Bayfront,Bartley,30
Bayfront,Bayfront,0
Bayfront,Beauty World,24
Bayfront,Bedok,30
Bayfront,Bedok North,27
Bayfront,Bedok Reservoir,29
Bayfront,Bencoolen,12
Bayfront,Bendemeer,16
Bayfront,Bishan,28
Bayfront,Boon Keng,20
Bayfront,Boon Lay,49
Bayfront,Botanic Gardens,17
Bayfront,Braddell,25
Bayfront,Bras Basah,17
Bayfront,Bright Hill,30
Bayfront,Buangkok,34
Bayfront,Bugis,7
Bayfront,Bukit Batok,49
Bayfront,Bukit Gombak,51
Bayfront,Bukit Panjang,34
Bayfront,Buona Vista,32
Bayfront,Caldecott,24
Bayfront,Canberra,43
Bayfront,Cashew,32
Bayfront,Changi Airport,51
Bayfront,Chinatown,8
Bayfront,Chinese Garden,44
Bayfront,Choa Chu Kang,49
Bayfront,City Hall,17
Bayfront,Clarke Quay,15
Bayfront,Clementi,37
Bayfront,Commonwealth,30
Bayfront,Dakota,20
Bayfront,Dhoby Ghaut,17
Bayfront,Dover,34
Bayfront,Downtown,5
Bayfront,Esplanade,15
Bayfront,Eunos,25
Bayfront,Expo,40
Bayfront,Farrer Park,18
Bayfront,Farrer Road,27
Bayfront,Fort Canning,11
Bayfront,Gardens by the Bay,16
Bayfront,Geylang Bahru,18
Bayfront,Great World,22
Bayfront,Gul Circle,57
Bayfront,HarbourFront,18
Bayfront,Havelock,21
Bayfront,Haw Par Villa,34
Bayfront,Hillview,30
Bayfront,Holland Village,29
Bayfront,Hougang,31
Bayfront,Jalan Besar,14
Bayfront,Joo Koon,54
Bayfront,Jurong East,41
Bayfront,Kaki Bukit,25
Bayfront,Kallang,19
Bayfront,Kembangan,27
Bayfront,Kent Ridge,36
Bayfront,Khatib,38
Bayfront,King Albert Park,22
Bayfront,Kovan,29
Bayfront,Kranji,58
Bayfront,Labrador Park,30
Bayfront,Lakeside,46
Bayfront,Lavender,17
Bayfront,Lentor,34
Bayfront,Little India,10
Bayfront,Lorong Chuan,35
Bayfront,MacPherson,21
Bayfront,Marina Bay,8
Bayfront,Marina South Pier,17
